frames,blue x,blue y,green x,green y,pink x,pink y,yellow x,yellow y,,,,
1,168.45679012345678,1015.3086419753087,83.7196261682243,1482.9672897196263,59.848214285714285,1480.0714285714287,149.98360655737704,1010.4262295081967,,,,
2,167.3,1015.0428571428571,85.05936073059361,1482.433789954338,60.567796610169495,1479.2372881355932,148.9078947368421,1009.9605263157895,,,,
3,167.044776119403,1014.6567164179105,85.29816513761467,1482.1880733944954,61.01652892561984,1479.2892561983472,148.56578947368422,1008.7763157894736,,,,
4,167.40625,1014.53125,86.10526315789474,1482.153110047847,61.82786885245902,1479.1147540983607,148.6315789473684,1008.8815789473684,,,,
5,167.63076923076923,1014.4153846153846,86.72477064220183,1481.9587155963302,62.09836065573771,1478.844262295082,149.67142857142858,1008.1285714285714,,,,
6,167.864406779661,1014.2372881355932,87.05140186915888,1482.018691588785,62.656,1479.344,149.85135135135135,1008.7027027027027,,,,
7,167.7037037037037,1014.3518518518518,88.9269406392694,1482.3333333333333,63.756410256410255,1479.5961538461538,149.97333333333333,1008.8266666666667,,,,
8,167.27659574468086,1014.5957446808511,90.88144329896907,1482.5927835051546,64.4559585492228,1479.139896373057,149.11688311688312,1008.7012987012987,,,,
9,166.72602739726028,1013.2054794520548,92.83333333333333,1482.779761904762,64.70476190476191,1479.2952380952381,147.53846153846155,1008.5384615384615,,,,
10,165.92105263157896,1011.5526315789474,96.75132275132275,1482.915343915344,64.6298076923077,1479.0913461538462,146.27868852459017,1009.360655737705,,,,
11,164.90625,1011.453125,101.07784431137725,1482.4311377245508,64.48,1478.8,144.64912280701753,1006.8421052631579,,,,
12,163.4375,1010.09375,106.7125748502994,1482.7724550898204,64.40776699029126,1478.9174757281553,143.875,1006.9375,,,,
13,162.20987654320987,1009.9753086419753,112.97701149425288,1483.132183908046,64.0048309178744,1478.8019323671497,141.66666666666666,1006.7777777777778,,,,
14,159.73611111111111,1010.1944444444445,119.54166666666667,1483.2407407407406,63.58048780487805,1479.1658536585367,139.56666666666666,1007.3,,,,
15,156.65217391304347,1008.7536231884058,127.18367346938776,1482.6479591836735,63.245098039215684,1479.0539215686274,137.32835820895522,1006.7014925373135,,,,
16,154.75,1007.7282608695652,135.29468599033817,1481.536231884058,62.747368421052634,1478.7315789473685,134.22388059701493,1007.5820895522388,,,,
17,152.81415929203538,1007.9823008849557,143.4903846153846,1480.9134615384614,62.46938775510204,1478.6836734693877,131.52727272727273,1005.7454545454545,,,,
18,151.38,1007.63,152.40217391304347,1479.8804347826087,62.205,1478.715,129.67796610169492,1005.8135593220339,,,,
19,149.44554455445544,1007.3960396039604,162.05583756345177,1479.482233502538,61.33510638297872,1478.7393617021276,128.34375,1005.765625,,,,
20,147.5728155339806,1006.8834951456311,172.2952380952381,1477.7571428571428,61.52284263959391,1479.0710659898477,126.67272727272727,1005.0181818181818,,,,
21,145.41346153846155,1006.9326923076923,182.95098039215685,1476.0343137254902,61.381909547738694,1479.2914572864322,124.16326530612245,1004.5714285714286,,,,
22,143.6764705882353,1006.4803921568628,194.43349753694582,1473.8275862068965,61.18407960199005,1479.3482587064677,122.66,1004.8,,,,
23,142.0,1005.75,205.990099009901,1471.2227722772277,60.92079207920792,1479.3663366336634,120.46551724137932,1005.051724137931,,,,
24,139.65934065934067,1004.989010989011,218.53333333333333,1467.8871794871795,60.5188679245283,1479.3632075471698,118.7,1004.0166666666667,,,,
25,137.85714285714286,1004.2261904761905,230.77604166666666,1464.078125,60.325581395348834,1479.4232558139536,116.91071428571429,1006.6428571428571,,,,
26,135.75862068965517,1004.2873563218391,243.7883597883598,1459.899470899471,59.845794392523366,1479.4532710280373,114.38095238095238,1007.6507936507936,,,,
27,134.03370786516854,1003.8539325842696,257.271186440678,1455.0338983050847,59.68269230769231,1479.8846153846155,112.71428571428571,1007.2698412698413,,,,
28,133.1443298969072,1002.8144329896908,271.22033898305085,1449.6327683615818,238.5,1458.0,238.5,1458.0,59.64734299516908,1479.87922705314,111.18032786885246,1007.360655737705
29,131.85714285714286,1002.7047619047619,285.3856209150327,1444.0261437908496,59.78604651162791,1480.0511627906976,109.83098591549296,1007.169014084507,,,,
30,131.03636363636363,1002.5454545454545,299.53416149068323,1437.6335403726707,60.40298507462686,1480.3333333333333,108.81818181818181,1007.060606060606,,,,
31,130.26262626262627,1002.4545454545455,313.5234375,1430.328125,60.58974358974359,1480.5435897435898,107.83116883116882,1006.4805194805194,,,,
32,129.29,1001.82,328.5348837209302,1422.4031007751937,60.62303664921466,1480.717277486911,106.48717948717949,1007.3461538461538,,,,
33,127.68367346938776,1001.5510204081633,342.2212389380531,1414.5575221238937,60.62105263157895,1480.9789473684211,105.76136363636364,1008.1590909090909,,,,
34,127.06862745098039,1001.5686274509804,356.39344262295083,1405.5245901639344,60.75661375661376,1481.2592592592594,104.63636363636364,1007.7272727272727,,,,
35,126.63963963963964,1001.4144144144144,371.3857142857143,1395.607142857143,61.18716577540107,1481.802139037433,104.36458333333333,1007.5833333333334,,,,
36,127.0873786407767,1001.3398058252427,385.82835820895525,1385.3507462686566,61.979274611398964,1482.3264248704663,104.64634146341463,1008.9268292682926,,,,
37,127.9245283018868,1001.2924528301887,400.84,1374.888,63.322404371584696,1482.5245901639344,104.90217391304348,1008.0434782608696,,,,
38,128.73275862068965,1001.1465517241379,415.02830188679246,1363.566037735849,64.88648648648649,1482.4054054054054,105.60526315789474,1008.5263157894736,,,,
39,129.5701754385965,1001.5,430.5689655172414,1353.448275862069,65.65128205128205,1483.7282051282052,105.78378378378379,1009.5405405405405,,,,
40,130.50413223140495,1001.6776859504132,444.53968253968253,1341.142857142857,66.94791666666667,1484.2760416666667,106.74647887323944,1010.3802816901408,,,,
41,131.3644859813084,1001.6728971962617,458.8876404494382,1326.887640449438,67.89473684210526,1484.4894736842105,107.69,1010.43,,,,
42,132.77685950413223,1000.9504132231405,473.43956043956047,1313.0,68.72527472527473,1484.6813186813188,109.26436781609195,1009.8965517241379,,,,
43,134.69672131147541,1000.4918032786885,486.2676056338028,1298.1267605633802,70.30810810810812,1485.345945945946,110.38461538461539,1010.3205128205128,,,,
44,136.69642857142858,1000.7946428571429,499.8045977011494,1283.712643678161,72.31666666666666,1485.638888888889,113.29411764705883,1012.1647058823529,,,,
45,139.21904761904761,1001.2761904761904,513.2058823529412,1268.1078431372548,74.44021739130434,1486.1521739130435,116.37037037037037,1011.1234567901234,,,,
