frames,point 0 x,point 0 y
1,476.3497267759563,370.60837887067396
2,476.46958174904944,370.1406844106464
3,476.2886405959032,369.8994413407821
4,475.9259962049336,370.3662239089184
5,476.3719165085389,369.94876660341555
6,476.2647619047619,369.55238095238093
7,476.2647619047619,369.55238095238093
8,476.480694980695,369.6003861003861
9,476.3539651837524,369.49323017408125
10,476.3740310077519,369.50387596899225
11,476.35543278084714,370.5598526703499
12,476.3376383763838,370.55350553505536
13,476.1189591078067,370.3810408921933
14,476.1189591078067,370.3810408921933
15,476.18566176470586,370.4595588235294
16,476.3363471971067,370.4647377938517
17,476.3363471971067,370.4647377938517
18,476.543321299639,370.5054151624549
19,476.47069597069594,370.55494505494505
20,476.5497185741088,369.66791744840526
21,476.43228200371055,369.87012987012986
22,476.4634146341463,369.6660412757974
23,476.56481481481484,369.88703703703703
24,476.7134935304991,369.5674676524954
25,476.8174904942966,369.5988593155894
26,476.6159554730983,369.556586270872
27,476.5922509225092,369.51476014760146
28,476.7555147058824,370.0091911764706
29,476.52952029520293,369.880073800738
30,476.3929889298893,370.1771217712177
31,476.59474671669795,370.3808630393996
32,476.5415094339623,370.29245283018867
33,476.4320754716981,370.46792452830186
34,476.52621359223303,369.7747572815534
35,476.2495164410058,370.073500967118
36,476.0149253731343,369.97574626865674
37,476.14233576642334,370.1459854014599
38,476.16206261510126,370.2596685082873
39,476.5727788279773,370.2873345935728
40,476.3502824858757,369.55555555555554
41,476.30410447761193,369.86380597014926
42,476.3593155893536,369.148288973384
43,476.3809523809524,369.2857142857143
44,476.53258845437614,369.86964618249533
45,476.3840445269017,369.7922077922078
46,476.6439393939394,369.11742424242425
47,476.8111753371869,368.0558766859345
48,477.16141732283467,367.0511811023622
49,477.1138996138996,367.8706563706564
50,477.62,366.822
51,478.15339805825244,367.70873786407765
52,478.9671179883946,367.9110251450677
53,479.5318725099602,367.90239043824704
54,480.40733197556006,366.14052953156823
55,481.33056133056135,365.57588357588355
56,482.7176724137931,365.4978448275862
57,483.73804573804574,367.9272349272349
58,484.9496855345912,366.55345911949684
59,485.9085365853659,365.0121951219512
60,487.369978858351,364.9260042283298
61,489.28784648187633,364.26226012793177
62,490.0442105263158,363.98526315789474
63,491.8898305084746,363.8601694915254
64,493.28205128205127,363.5705128205128
65,494.9326315789474,363.5642105263158
66,497.01502145922746,365.2618025751073
67,498.6271186440678,364.103813559322
68,500.7004132231405,364.7892561983471
69,502.9296066252588,366.14699792960664
70,504.7373949579832,365.69117647058823
71,506.72314049586777,365.2665289256198
72,508.47870182555783,365.3103448275862
73,510.68602150537635,364.56559139784946
74,512.1293859649123,364.87719298245617
75,514.078350515464,364.56082474226804
76,515.7178423236514,364.76763485477176
77,517.8401639344262,364.5204918032787
78,519.9831578947368,364.01473684210526
79,521.8387096774194,363.89032258064515
80,523.5658436213992,363.92798353909467
81,525.1618852459017,363.7909836065574
82,526.9665271966527,363.8661087866109
83,528.4692144373673,363.687898089172
84,529.75,363.15889830508473
85,531.4076433121019,363.46072186836517
86,533.0821052631579,363.30315789473684
87,535.3449023861172,363.24511930585686
88,537.1917211328976,363.2069716775599
89,539.0987124463519,363.13304721030045
90,540.9853249475891,362.60796645702305
91,543.2848232848232,362.3097713097713
92,546.3449023861172,362.529284164859
93,548.8689217758986,362.5010570824524
94,551.9207708779443,362.5438972162741
95,554.8644067796611,362.4724576271187
96,558.0399159663865,362.3718487394958
97,560.6234042553192,360.4148936170213
98,563.4131355932203,359.36228813559325
99,567.2489539748954,361.9309623430962
100,570.8723849372385,362.10878661087867
101,574.234273318872,361.6290672451193
102,575.6795698924731,359.39354838709676
103,578.859243697479,359.68277310924367
104,582.2913223140496,361.07438016528926
105,585.1326530612245,361.9673469387755
106,587.4471544715448,362.2987804878049
107,590.3081761006289,361.99161425576517
108,592.2665289256198,362.02479338842977
109,594.59670781893,362.0308641975309
110,596.6172839506173,361.9835390946502
111,598.3099787685775,362.07218683651803
112,600.031914893617,361.52553191489363
113,601.858947368421,361.3578947368421
114,604.1700819672132,360.3483606557377
115,605.5525773195876,359.71546391752577
116,607.1954261954262,359.6008316008316
117,609.0600414078675,359.56935817805385
118,610.8673469387755,359.58775510204083
119,612.488706365503,359.48049281314167
120,613.7827868852459,359.48975409836066
121,616.1749502982108,361.36182902584494
122,618.8786008230453,362.13374485596705
123,620.4349593495934,362.4065040650407
124,622.1676891615542,362.40899795501025
125,624.3792415169661,362.1616766467066
126,626.3656565656565,362.6020202020202
127,628.8836734693878,362.3816326530612
128,631.2514851485148,362.4891089108911
129,633.4879518072289,362.62449799196787
130,635.6075697211155,362.62749003984067
131,637.3104838709677,362.64112903225805
132,639.092555331992,362.7203219315895
