Time (s),Angle (deg),Angular Velocity (deg/s),Angular Acceleration (deg/s²)
0.0,23.94130670382561,88.42621106492743,-7697.832681349471
0.016666666666666666,25.415076888241067,-39.871000290897086,-6076.292198943389
0.03333333333333333,22.612273360795708,-114.11686223318554,-498.27350957381054
0.05,21.611181480468215,-56.48011727669075,3413.657840362618
0.06666666666666667,20.729602784906017,-0.3282675544315907,3404.73164167448
0.08333333333333333,21.600239228653827,57.01093744579191,1403.8954841476043
0.1,22.629967366432414,46.46824858382183,-2687.2598053149013
0.11666666666666667,23.14918084811456,-32.56438939803809,-3480.6329609722907
0.13333333333333333,21.544487719831146,-69.5528501152545,-1052.6079782605416
0.15,20.830752510939412,-67.65132200672281,1811.1848699677366
0.16666666666666666,19.289443652940385,-9.180021116329954,1940.6518656592996
0.18333333333333332,20.524751807061747,-2.9629264847461627,-1362.9804047060584
0.2,19.19067943678218,-54.612701273198695,-852.2904409752952
0.21666666666666667,18.704328431288452,-31.372607850589475,2098.2274029483838
0.23333333333333334,18.14492584176253,15.32821215841409,1921.1822677635566
0.25,19.21526883656892,32.666801074862406,-1069.4036025327605
0.26666666666666666,19.23381921092461,-20.31857459267792,-141.0269699096068
0.2833333333333333,18.53798301681299,27.965902077875512,55.449871736039995
0.3,20.166015946853793,-18.47024553480992,-3322.5855770382777
0.31666666666666665,17.92230816565266,-82.78695049006706,-45.447880452032905
0.3333333333333333,17.406450930518226,-19.985174883211016,3030.3643042507138
0.35,17.256135669545625,18.22519298495672,1786.9746774092268
0.36666666666666664,18.013957363350116,39.58064769709654,-2213.419764641154
0.38333333333333336,18.575490592782177,-55.55546583641558,-3541.134025125068
0.4,16.162108502136274,-78.45715314040615,463.79812505744394
0.4166666666666667,15.960252154768638,-40.095528334500784,1745.9991265973435
0.43333333333333335,14.825590890986248,-20.257182253828034,237.16020976184666
0.45,15.285012746307704,-32.190188009105896,-419.96294272548084
0.4666666666666667,13.752584624016052,-34.25594701134406,732.7256447065436
0.48333333333333334,14.143147845929569,-7.765999852221114,1478.7686961701304
0.5,13.493717962275348,15.036342860993614,1495.3352556409957
0.5166666666666667,14.644359274629362,42.07850866914549,-1071.2108983284543
0.5333333333333333,14.896334917913537,-20.67068708328759,-2870.0067851156864
0.55,13.955336371853102,-53.58838416804383,-836.2726971596874
0.5666666666666667,13.110055445645408,-48.546443655277415,1003.704272226564
0.5833333333333334,12.337121583343857,-20.131575093824893,885.4934698200279
0.6,12.439002942517906,-19.029994661276305,-1972.5662383174156
0.6166666666666667,11.702788427967976,-85.88378303773919,-57.231197560613964
0.6333333333333333,9.576210174593275,-20.93770124663098,4806.3400627422125
0.65,11.004865053080302,74.32755238700139,1916.5975650630055
0.6666666666666666,12.053795254159988,42.948884255470034,-1767.8326357793221
0.6833333333333333,12.436494528262632,15.399797861024012,-1414.7731495056607
0.7,12.567121849527455,-4.210220728052036,-818.6531731339235
0.7166666666666667,12.296153837327562,-11.88864124344002,-265.32243001445
0.7333333333333333,12.17083380807945,-13.054301728533744,672.1705173403459
0.75,11.861010446376437,10.517042667905002,314.05727769556523
0.7666666666666667,12.52140189700962,-2.585725805348204,-671.4897274669481
0.7833333333333333,11.774819586198172,-11.865948247659958,-486.95841209504295
0.8,12.125870288754296,-18.81767287518295,-264.5792847069949
0.8166666666666667,11.147563823692082,-20.685257737893153,708.9641252880441
0.8333333333333334,11.4363616974912,4.814464634418698,858.1683366562096
0.85,11.308045978172707,7.920353483980648,-591.4091923531964
0.8666666666666667,11.70037348029056,-14.89917511068802,-1912.133820683846
0.8833333333333333,10.811406807816446,-55.81744053881408,269.34515932232966
0.9,9.839792128996757,-5.921003133276429,2704.2964929808077
0.9166666666666666,10.61404003670722,34.32577589387955,-701.8725358026948
0.9333333333333333,10.983984658792739,-29.316754326700277,-2190.797792168237
0.95,9.636814892483889,-38.70081717839537,172.98904103647965
0.9666666666666667,9.693957419512904,-23.55045295881746,-1807.0846280799221
0.9833333333333333,8.851799793856644,-98.93697144772548,-1909.7878241982653
1.0,6.396058371255378,-87.21004709875905,1672.0465255788058
1.0166666666666666,5.944798223897996,-43.20208726176551,2447.711047493573
1.0333333333333334,4.955988795863182,-5.619678848973109,1740.9390414799996
1.05,5.757475595598867,14.829214120901554,-840.1841774723348
1.0666666666666667,5.450295933226566,-33.62581809805084,-2031.7258464283366
1.0833333333333333,4.636614992330509,-52.89498076004277,343.54512521877007
1.1,3.6871299078918,-22.174313924091138,473.03215193940105
1.1166666666666667,3.897471194860787,-37.12724236206208,-609.498741888768
1.1333333333333333,2.449555162489735,-42.49093865371667,2510.7706721744007
1.15,2.481106573070236,46.56511337708433,2078.2574552851647
1.1666666666666667,4.0017256083925705,26.784309855787583,-2454.6964825944156
1.1833333333333333,3.3739169015965205,-35.258102709395885,-1206.2857404413112
1.2,2.8264555180793787,-13.425214825589322,846.1202309642881
1.2166666666666666,2.9264097407435448,-7.05409501058638,54.30395285521439
1.2333333333333334,2.5913190177264926,-11.615083063748983,1478.021909820247
1.25,2.53924030528524,42.21330198342123,1008.9646646831897
1.2666666666666666,3.998429083840529,22.017072425690557,-2080.319583661203
1.2833333333333334,3.2731427194748988,-27.130684138619472,-877.8319813352267
1.3,3.0940729458865364,-7.24399361881801,149.71845549890577
1.3166666666666667,3.0316762655142995,-22.140068955322633,-1477.6480483241621
1.3333333333333333,2.3560706473757844,-56.49892856295658,18.58001621792755
1.35,1.1483786467490669,-21.52073508139079,4133.3948535219215
